account_code,hoa,account_code_description,receipt_or_payment,positive_or_negative,part
3201019019,320101101050119,Foreign Post Divisions-Digital Equipment,Payment Side,Positive,Part I
3201019121,320101101050121,Foreign Post Divisions-Materials and Supplies,Payment Side,Positive,Part I
3201019224,320101101050124,Foreign Post Divisions-Fuels and Lubricants,Payment Side,Positive,Part I
3201019326,320101101050126,Foreign Post Divisions-Advertising and Publicity,Payment Side,Positive,Part I
3201019427,320101101050127,Foreign Post Divisions-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201019528,320101101050128,Foreign Post Divisions-Professional Services,Payment Side,Positive,Part I
3201019629,320101101050129,Foreign Post Divisions-Repairs and Mainteance,Payment Side,Positive,Part I
3201019749,320101101050149,Foreign Post Divisions-Other Revenue Expenditure,Payment Side,Positive,Part I
3201019864,320101101050164,Foreign Post Divisions-Write off losses,Payment Side,Positive,Part I
3201019901,320101101060101,Postal Stores Depot-Salaries,Payment Side,Positive,Part I
3201020002,320101101060102,Postal Stores Depot-Wages,Payment Side,Positive,Part I
3201020105,320101101060105,Postal Stores Depot-Rewards,Payment Side,Positive,Part I
3201020206,320101101060106,Postal Stores Depot-Medical Treatment,Payment Side,Positive,Part I
3201020307,320101101060107,Postal Stores Depot-Allowances,Payment Side,Positive,Part I
3201020408,320101101060108,Postal Stores Depot-LTC,Payment Side,Positive,Part I
3201020511,320101101060111,Postal Stores Depot-Domestic Travel Expenses,Payment Side,Positive,Part I
3201020613,320101101060113,Postal Stores Depot-Office Expenses,Payment Side,Positive,Part I
3201020714,320101101060114,Postal Stores Depot-RRT for Land and Buidlings,Payment Side,Positive,Part I
3201020816,320101101060116,Postal Stores Depot-Printing and Publication,Payment Side,Positive,Part I
3201020918,320101101060118,Postal Stores Depot-Rent for Others,Payment Side,Positive,Part I
3201021019,320101101060119,Postal Stores Depot-Digital Equipment,Payment Side,Positive,Part I
3201021121,320101101060121,Postal Stores Depot-Materials and Supplies,Payment Side,Positive,Part I
3201021224,320101101060124,Postal Stores Depot-Fuels and Lubricants,Payment Side,Positive,Part I
3201021326,320101101060126,Postal Stores Depot-Advertising and Publicity,Payment Side,Positive,Part I
3201021427,320101101060127,Postal Stores Depot-Minor and Civil Electrical Works,Payment Side,Positive,Part I
3201021528,320101101060128,Postal Stores Depot-Professional Services,Payment Side,Positive,Part I
3201044613,320102102010113,Mail Sorting-Office Expenses,Payment Side,Positive,Part I
3201021629,320101101060129,Postal Stores Depot-Repairs and Maintenance,Payment Side,Positive,Part I
3201021749,320101101060149,Postal Stores Depot-Other Revenue Expenditure,Payment Side,Positive,Part I
3201021864,320101101060164,Postal Stores Depot-Write off of losses,Payment Side,Positive,Part I
3201021970,320101911010070,Gen Admin-Recoveries of Overpayments of Previous FYs,Receipt Side,Negative,Part I
3201022001,320102003010101,Operational Training-Salaries,Payment Side,Positive,Part I
3201022102,320102003010102,Operational Training-Wages,Payment Side,Positive,Part I
3201022205,320102003010105,Operational Training-Rewards,Payment Side,Positive,Part I
3201022306,320102003010106,Operational Training-Medical Treatment,Payment Side,Positive,Part I
3201022407,320102003010107,Operational Training-Allowances,Payment Side,Positive,Part I
3201022508,320102003010108,Operational Training-LTC,Payment Side,Positive,Part I
3201022611,320102003010111,Operational Training-Domestic Travel Expenses,Payment Side,Positive,Part I
3201022713,320102003010113,Operational Training-Office Expenses,Payment Side,Positive,Part I
3201022814,320102003010114,Operational Training-RRT for Land and Buidlings,Payment Side,Positive,Part I
3201022916,320102003010116,Operational Training-Printing and Publication,Payment Side,Positive,Part I
3201023018,320102003010118,Operational Training-Rent for Others,Payment Side,Positive,Part I
3201023119,320102003010119,Operational Training-Digital Equipment,Payment Side,Positive,Part I
3201023221,320102003010121,Operational Training-Materials and Supplies,Payment Side,Positive,Part I
3201023324,320102003010124,Operational Training-Fuels and Lubricants,Payment Side,Positive,Part I
3201023426,320102003010126,Operational Training-Advertising and Publicity,Payment Side,Positive,Part I
3201023527,320102003010127,Operational Training-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201023628,320102003010128,Operational Training-Professional Services,Payment Side,Positive,Part I
3201023729,320102003010129,Operational Training-Repairs and Maintenance,Payment Side,Positive,Part I
3201023849,320102003010149,Operational Training-Other Revenue Expenditure,Payment Side,Positive,Part I
3201023964,320102003010164,Operational Training-Write off of losses,Payment Side,Positive,Part I
3201024011,320102003020111,Training Program-Group A &B officers-DTE,Payment Side,Positive,Part I
3201024213,320102003020113,Training Program-Group A & B officers- Office Expenses,Payment Side,Positive,Part I
3201024316,320102003020116,Training Program-Group A & B officers- P & P,Payment Side,Positive,Part I
3201024418,320102003020118,Training Program-Group A & B officers- Rent for Others,Payment Side,Positive,Part I
3201024519,320102003020119,Training Program-Group A & B officers-Digital Equipment,Payment Side,Positive,Part I
3201024711,320102003020211,In Service Training-Domestic Travel Expenses,Payment Side,Positive,Part I
3201024813,320102003020213,In Service Training-Office Expenses,Payment Side,Positive,Part I
3201024916,320102003020216,In Service Training-Printing and Publication,Payment Side,Positive,Part I
3201025018,320102003020218,In Service Training-Rent for Others,Payment Side,Positive,Part I
3201025119,320102003020219,In Service Training-Digital Equipment,Payment Side,Positive,Part I
3201025228,320102003020228,In Service Training-Professional Services,Payment Side,Positive,Part I
3201025311,320102003020311,Computer Training -TIL-Domestic Travel Expenses,Payment Side,Positive,Part I
3201025413,320102003020313,Computer Training -TIL-Office Expenses,Payment Side,Positive,Part I
3201025528,320102003020328,Computer Training -TIL-Professional Services,Payment Side,Positive,Part I
3201025613,320102003020413,Training Equipment-TIL-Office Expenses,Payment Side,Positive,Part I
3201025716,320102003020416,Training Equipment-TIL-Printing and Publication,Payment Side,Positive,Part I
3201025818,320102003020418,Training Equipment-TIL-Rent for Others,Payment Side,Positive,Part I
3201025919,320102003020419,Training Equipment-TIL-Digital Equipment,Payment Side,Positive,Part I
3201026027,320102003020427,Training Equipment-TIL-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201026129,320102003020429,Training Equipment-TIL-Repairs and Maintenance,Payment Side,Positive,Part I
3201026211,320102003030111,ServiceTraining to officials-Domestic Travel Expenses,Payment Side,Positive,Part I
3201026313,320102003030113,ServiceTraining to officials-Office Expenses,Payment Side,Positive,Part I
3201026428,320102003030128,ServiceTraining to officials-Professional Services,Payment Side,Positive,Part I
3201026511,320102003030211,Computer Training-WPL-Domestic Travel Expenses,Payment Side,Positive,Part I
3201026613,320102003030213,Computer Training-WPL-Office Expenses,Payment Side,Positive,Part I
3201026728,320102003030228,Computer Training-WPL-Professional Services,Payment Side,Positive,Part I
3201026813,320102003030313,Training Equipment-WPL-Office Expenses,Payment Side,Positive,Part I
3201026927,320102003030327,Training Equipment-WPL-Minor Civil Electrical Works,Payment Side,Positive,Part I
3201027001,320102101010101,Existing Post Offices-Salaries,Payment Side,Positive,Part I
3201027205,320102101010105,Existing Post Offices-Rewards,Payment Side,Positive,Part I
3201027306,320102101010106,Existing Post Offices-Medical Treatment,Payment Side,Positive,Part I
3201027407,320102101010107,Existing Post Offices-Allowances,Payment Side,Positive,Part I
3201027508,320102101010108,Existing Post Offices-LTC,Payment Side,Positive,Part I
3201027611,320102101010111,Existing Post Offices-Domestic Travel Expenses,Payment Side,Positive,Part I
3201027713,320102101010113,Existing Post Offices-Office Expenses,Payment Side,Positive,Part I
3201027814,320102101010114,Existing Post Offices-RRT for Land and Buidlings,Payment Side,Positive,Part I
3201027916,320102101010116,Existing Post Offices-Printing and Publication,Payment Side,Positive,Part I
3201028018,320102101010118,Existing Post Offices-Rent for Others,Payment Side,Positive,Part I
3201028119,320102101010119,Existing Post Offices-Digital Equipment,Payment Side,Positive,Part I
